2024-05-05 19:31:35,124 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-05-05 19:31:37,904 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-05-05 19:34:52,863 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EF8FB8D-1A06-FB11-4002-B52B84BE3598
2024-05-05 19:36:13,180 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=7, releaselevel='final', serial=0)
2024-05-05 19:36:13,181 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.2.1-arm64-arm-64bit
2024-05-05 19:36:13,181 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-05-05 19:36:15,887 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-05-05 19:36:43,477 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EF8FB8D-1A06-FB11-4002-B52B84BE3598
2024-05-05 19:37:59,122 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=7, releaselevel='final', serial=0)
2024-05-05 19:37:59,122 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.2.1-arm64-arm-64bit
2024-05-05 19:37:59,122 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-05-05 19:38:01,787 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-05-05 19:38:03,588 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2024-05-05 19:39:10,703 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EF8FB8D-1A06-FB11-4002-B52B84BE3598
2024-05-05 19:40:24,420 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=7, releaselevel='final', serial=0)
2024-05-05 19:40:24,420 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.2.1-arm64-arm-64bit
2024-05-05 19:40:24,421 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-05-05 19:40:27,215 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-05-05 19:41:19,973 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=7, releaselevel='final', serial=0)
2024-05-05 19:41:19,973 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.2.1-arm64-arm-64bit
2024-05-05 19:41:19,974 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-05-05 19:41:24,891 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-05-05 19:42:26,503 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EF8FB8D-1A06-FB11-4002-B52B84BE3598
2024-05-05 19:42:41,541 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=7, releaselevel='final', serial=0)
